"condition_id","n_clusters","cluster_size","beta","effect_label","contamination","contamination_label","contamination_prop","contamination_size","leverage_size","reps","condition_seed","model","requested_reps","observed_reps","successful_reps","fit_success_rate","failure_rate","overall_warning_field_rate","error_rep_rate","singular_rate","template_warning_rate","cluster_warning_rep_rate","cluster_error_rep_rate","dropped_cluster_rep_rate","mean_cluster_warning_count","maximum_cluster_warning_count","mean_cluster_error_count","maximum_cluster_error_count","mean_dropped_cluster_count","maximum_dropped_cluster_count","mean_retained_clusters","minimum_retained_clusters","mean_runtime_sec","method_label","method_order"
"S1C017",40,40,0.1,"Alternative","vertical","Vertical outliers",0.05,6,0,2000,20260817,"cr2",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,40,40,0.229509999999922,"OLS with CR2",2
"S1C017",40,40,0.1,"Alternative","vertical","Vertical outliers",0.05,6,0,2000,20260817,"cats",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,40,40,0.186949999999961,"CATs",3
"S1C017",40,40,0.1,"Alternative","vertical","Vertical outliers",0.05,6,0,2000,20260817,"cats_trunc",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,40,40,0.188090000000058,"Truncated CATs",4
"S1C017",40,40,0.1,"Alternative","vertical","Vertical outliers",0.05,6,0,2000,20260817,"cats_robust",2000,2000,2000,100,0,100,0,,0,7.4,0,0,0.0785,2,0,0,0,0,40,40,0.369850000000028,"Robust CATs: lmRob",5
"S1C017",40,40,0.1,"Alternative","vertical","Vertical outliers",0.05,6,0,2000,20260817,"cats_robustbase",2000,2000,2000,100,0,100,0,,0,11.8,0,0,0.1255,2,0,0,0,0,40,40,0.740654999999941,"Robust CATs: lmrob",6
"S1C018",40,40,0.1,"Alternative","bad_leverage","Bad leverage",0.05,0.375,4,2000,20260817,"ri",2000,2000,2000,100,0,0,0,0,0,,,,,,,,,,40,40,0.588644999999953,"Random intercept (KR)",1
"S1C018",40,40,0.1,"Alternative","bad_leverage","Bad leverage",0.05,0.375,4,2000,20260817,"cr2",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,40,40,0.2268849999999,"OLS with CR2",2
"S1C018",40,40,0.1,"Alternative","bad_leverage","Bad leverage",0.05,0.375,4,2000,20260817,"cats",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,40,40,0.187099999999948,"CATs",3
"S1C018",40,40,0.1,"Alternative","bad_leverage","Bad leverage",0.05,0.375,4,2000,20260817,"cats_trunc",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,40,40,0.188980000000018,"Truncated CATs",4
"S1C018",40,40,0.1,"Alternative","bad_leverage","Bad leverage",0.05,0.375,4,2000,20260817,"cats_robust",2000,2000,2000,100,0,100,0,,0.15,5,0,0,0.051,2,0,0,0,0,40,40,0.369555000000073,"Robust CATs: lmRob",5
"S1C018",40,40,0.1,"Alternative","bad_leverage","Bad leverage",0.05,0.375,4,2000,20260817,"cats_robustbase",2000,2000,2000,100,0,100,0,,0,11.45,0,0,0.121,2,0,0,0,0,40,40,0.736845000000052,"Robust CATs: lmrob",6
